[2024-04-14T00:58:11.176+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_D000594.json to gs://congress_data/members/member_D000594.json
[2024-04-14T00:58:11.706+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_M001163.json to gs://congress_data/members/member_M001163.json
[2024-04-14T00:58:12.167+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_M000355.json to gs://congress_data/members/member_M000355.json
[2024-04-14T00:58:12.635+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_C001068.json to gs://congress_data/members/member_C001068.json
[2024-04-14T00:58:13.074+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_H001085.json to gs://congress_data/members/member_H001085.json
[2024-04-14T00:58:13.636+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_J000020.json to gs://congress_data/members/member_J000020.json
[2024-04-14T00:58:14.137+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_C001087.json to gs://congress_data/members/member_C001087.json
[2024-04-14T00:58:14.670+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001305.json to gs://congress_data/members/member_B001305.json
[2024-04-14T00:58:15.149+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S001211.json to gs://congress_data/members/member_S001211.json
[2024-04-14T00:58:15.583+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_J000309.json to gs://congress_data/members/member_J000309.json
[2024-04-14T00:58:15.993+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S001180.json to gs://congress_data/members/member_S001180.json
[2024-04-14T00:58:16.504+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_M001143.json to gs://congress_data/members/member_M001143.json
[2024-04-14T00:58:17.015+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_L000595.json to gs://congress_data/members/member_L000595.json
[2024-04-14T00:58:17.565+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_G000578.json to gs://congress_data/members/member_G000578.json
[2024-04-14T00:58:17.988+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_F000479.json to gs://congress_data/members/member_F000479.json
[2024-04-14T00:58:18.454+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_P000618.json to gs://congress_data/members/member_P000618.json
[2024-04-14T00:58:18.883+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S000142.json to gs://congress_data/members/member_S000142.json
[2024-04-14T00:58:19.367+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_G000597.json to gs://congress_data/members/member_G000597.json
[2024-04-14T00:58:19.844+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S001196.json to gs://congress_data/members/member_S001196.json
[2024-04-14T00:58:20.386+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_W000828.json to gs://congress_data/members/member_W000828.json
[2024-04-14T00:58:20.961+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_L000583.json to gs://congress_data/members/member_L000583.json
[2024-04-14T00:58:21.403+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_G000581.json to gs://congress_data/members/member_G000581.json
[2024-04-14T00:58:21.856+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_C000141.json to gs://congress_data/members/member_C000141.json
[2024-04-14T00:58:22.424+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_H001093.json to gs://congress_data/members/member_H001093.json
[2024-04-14T00:58:23.042+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_C001091.json to gs://congress_data/members/member_C001091.json
[2024-04-14T00:58:23.881+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_D000633.json to gs://congress_data/members/member_D000633.json
[2024-04-14T00:58:24.568+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S001207.json to gs://congress_data/members/member_S001207.json
[2024-04-14T00:58:25.271+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001313.json to gs://congress_data/members/member_B001313.json
[2024-04-14T00:58:26.026+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_L000491.json to gs://congress_data/members/member_L000491.json
[2024-04-14T00:58:26.492+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_M001196.json to gs://congress_data/members/member_M001196.json
[2024-04-14T00:58:26.989+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_K000009.json to gs://congress_data/members/member_K000009.json
[2024-04-14T00:58:27.430+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_W000804.json to gs://congress_data/members/member_W000804.json
[2024-04-14T00:58:27.887+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_C001117.json to gs://congress_data/members/member_C001117.json
[2024-04-14T00:58:28.419+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_R000612.json to gs://congress_data/members/member_R000612.json
[2024-04-14T00:58:28.867+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_K000377.json to gs://congress_data/members/member_K000377.json
[2024-04-14T00:58:29.349+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_J000299.json to gs://congress_data/members/member_J000299.json
[2024-04-14T00:58:29.794+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001295.json to gs://congress_data/members/member_B001295.json
[2024-04-14T00:58:30.210+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_K000398.json to gs://congress_data/members/member_K000398.json
[2024-04-14T00:58:30.626+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_W000795.json to gs://congress_data/members/member_W000795.json
[2024-04-14T00:58:31.052+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_T000165.json to gs://congress_data/members/member_T000165.json
[2024-04-14T00:58:31.518+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_H001046.json to gs://congress_data/members/member_H001046.json
[2024-04-14T00:58:31.932+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_E000071.json to gs://congress_data/members/member_E000071.json
[2024-04-14T00:58:32.399+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_C001101.json to gs://congress_data/members/member_C001101.json
