[2024-04-12T17:44:59.409+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_K000394.json to gs://congress_data/members/member_K000394.json
[2024-04-12T17:44:59.889+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001299.json to gs://congress_data/members/member_B001299.json
[2024-04-12T17:45:00.345+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S001227.json to gs://congress_data/members/member_S001227.json
[2024-04-12T17:45:00.784+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_J000295.json to gs://congress_data/members/member_J000295.json
[2024-04-12T17:45:01.248+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001260.json to gs://congress_data/members/member_B001260.json
[2024-04-12T17:45:01.709+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_K000382.json to gs://congress_data/members/member_K000382.json
[2024-04-12T17:45:02.153+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_R000608.json to gs://congress_data/members/member_R000608.json
[2024-04-12T17:45:02.620+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_E000246.json to gs://congress_data/members/member_E000246.json
[2024-04-12T17:45:03.049+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_R000599.json to gs://congress_data/members/member_R000599.json
[2024-04-12T17:45:03.496+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_G000558.json to gs://congress_data/members/member_G000558.json
[2024-04-12T17:45:03.995+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_R000576.json to gs://congress_data/members/member_R000576.json
[2024-04-12T17:45:04.440+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_F000459.json to gs://congress_data/members/member_F000459.json
[2024-04-12T17:45:04.926+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_A000055.json to gs://congress_data/members/member_A000055.json
[2024-04-12T17:45:05.402+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_D000594.json to gs://congress_data/members/member_D000594.json
[2024-04-12T17:45:05.835+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_M001163.json to gs://congress_data/members/member_M001163.json
[2024-04-12T17:45:06.274+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_M000355.json to gs://congress_data/members/member_M000355.json
[2024-04-12T17:45:06.763+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_C001068.json to gs://congress_data/members/member_C001068.json
[2024-04-12T17:45:07.211+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_H001085.json to gs://congress_data/members/member_H001085.json
[2024-04-12T17:45:07.643+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_J000020.json to gs://congress_data/members/member_J000020.json
[2024-04-12T17:45:08.084+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_C001087.json to gs://congress_data/members/member_C001087.json
[2024-04-12T17:45:08.602+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001305.json to gs://congress_data/members/member_B001305.json
[2024-04-12T17:45:09.098+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S001211.json to gs://congress_data/members/member_S001211.json
[2024-04-12T17:45:09.604+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_J000309.json to gs://congress_data/members/member_J000309.json
[2024-04-12T17:45:10.034+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S001180.json to gs://congress_data/members/member_S001180.json
[2024-04-12T17:45:10.479+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_M001143.json to gs://congress_data/members/member_M001143.json
[2024-04-12T17:45:10.952+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_L000595.json to gs://congress_data/members/member_L000595.json
[2024-04-12T17:45:11.408+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_G000578.json to gs://congress_data/members/member_G000578.json
[2024-04-12T17:45:11.913+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_F000479.json to gs://congress_data/members/member_F000479.json
[2024-04-12T17:45:12.379+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_P000618.json to gs://congress_data/members/member_P000618.json
[2024-04-12T17:45:12.871+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S000142.json to gs://congress_data/members/member_S000142.json
[2024-04-12T17:45:13.383+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_G000597.json to gs://congress_data/members/member_G000597.json
[2024-04-12T17:45:13.858+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S001196.json to gs://congress_data/members/member_S001196.json
[2024-04-12T17:45:14.360+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_W000828.json to gs://congress_data/members/member_W000828.json
[2024-04-12T17:45:14.843+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_L000583.json to gs://congress_data/members/member_L000583.json
[2024-04-12T17:45:15.274+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_G000581.json to gs://congress_data/members/member_G000581.json
[2024-04-12T17:45:15.743+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_C000141.json to gs://congress_data/members/member_C000141.json
[2024-04-12T17:45:16.222+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_H001093.json to gs://congress_data/members/member_H001093.json
[2024-04-12T17:45:16.688+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_C001091.json to gs://congress_data/members/member_C001091.json
[2024-04-12T17:45:17.128+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_D000633.json to gs://congress_data/members/member_D000633.json
[2024-04-12T17:45:17.566+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S001207.json to gs://congress_data/members/member_S001207.json
[2024-04-12T17:45:18.128+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001313.json to gs://congress_data/members/member_B001313.json
[2024-04-12T17:45:18.574+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_L000491.json to gs://congress_data/members/member_L000491.json
[2024-04-12T17:45:18.998+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_M001196.json to gs://congress_data/members/member_M001196.json
[2024-04-12T17:45:19.471+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_K000009.json to gs://congress_data/members/member_K000009.json
[2024-04-12T17:45:19.909+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_W000804.json to gs://congress_data/members/member_W000804.json
[2024-04-12T17:45:20.336+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_C001117.json to gs://congress_data/members/member_C001117.json
[2024-04-12T17:45:20.811+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_R000612.json to gs://congress_data/members/member_R000612.json
[2024-04-12T17:45:21.246+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_K000377.json to gs://congress_data/members/member_K000377.json
[2024-04-12T17:45:21.669+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001295.json to gs://congress_data/members/member_B001295.json
[2024-04-12T17:45:22.191+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_K000398.json to gs://congress_data/members/member_K000398.json
[2024-04-12T17:45:22.615+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_W000795.json to gs://congress_data/members/member_W000795.json
[2024-04-12T17:45:23.097+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_T000165.json to gs://congress_data/members/member_T000165.json
[2024-04-12T17:45:23.530+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_H001046.json to gs://congress_data/members/member_H001046.json
[2024-04-12T17:45:24.004+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_E000071.json to gs://congress_data/members/member_E000071.json
[2024-04-12T17:45:24.473+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_C001101.json to gs://congress_data/members/member_C001101.json
[2024-04-12T17:45:24.917+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_O000172.json to gs://congress_data/members/member_O000172.json
[2024-04-12T17:45:25.354+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_M001211.json to gs://congress_data/members/member_M001211.json
